,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EHD1,6.157011195,-1.175496938,0.801023216,-1.467494219,0.142241661,NA
PABPC4,21.86529301,-0.651246657,0.443995287,-1.466787319,0.142433921,NA
LINC01678,4.336284194,-1.446433905,0.986126955,-1.466782647,0.142435192,NA
AC027644.3,5.944331698,-1.348347513,0.919393059,-1.466562642,0.142495069,NA
KRT10,21.7474244,-0.751159319,0.512482704,-1.465726187,0.142722897,NA
WBP1L,2.614956092,1.847958406,1.261071682,1.465387283,0.142815285,NA
CSK,9.833446068,0.972362641,0.663562135,1.465367884,0.142820575,NA
RSPO3,12.70407805,0.89053157,0.607940097,1.464834405,0.142966103,NA
FBXW4,2.000018373,2.048797356,1.398746969,1.464737655,0.142992507,NA
SYNRG,11.71475615,-0.914057717,0.62404378,-1.464733318,0.142993691,NA
TIMMDC1,15.91786508,-0.743328061,0.50788258,-1.463582508,0.143308055,NA
PML,7.852032502,1.061140013,0.725073419,1.463493193,0.143332475,NA
SRSF10,27.52148174,-0.629310905,0.430483432,-1.461870211,0.143776779,NA
RNF13,63.04366773,0.502306788,0.344451656,1.458279497,0.144763519,NA
CALHM6,21.94267115,0.730199358,0.500990491,1.457511414,0.144975263,NA
SMN2,2.19977456,-2.375164241,1.631812527,-1.455537448,0.145520531,NA
NNT-AS1,2.975643579,1.698304775,1.167046915,1.455215513,0.145609608,NA
Mar-01,25.04498016,0.681091371,0.468265445,1.454498466,0.145808158,NA
AC004812.2,1.112007288,2.832415484,1.948573731,1.453583941,0.146061692,NA
CDKN1C,1.571920458,-2.574502056,1.771601152,-1.453206357,0.146166468,NA
YIPF3,13.19577156,0.854775837,0.588266315,1.453042295,0.146212011,NA
ABTB1,4.285795238,-1.349912894,0.92909576,-1.452931928,0.146242655,NA
SON,68.52360417,-0.49059508,0.337837462,-1.452163053,0.146456273,NA
BHLHE40,6.802329371,1.151259501,0.793016395,1.451747414,0.14657185,NA
FAM204A,19.75828799,0.733544721,0.505342709,1.451578719,0.14661878,NA
DLGAP1-AS1,1.211337883,-2.689835935,1.853348915,-1.451338123,0.146685731,NA
GEMIN8,2.277254229,-1.997372273,1.376406202,-1.4511503,0.146738013,NA
DELE1,4.2294651,-1.360151956,0.937707424,-1.450507825,0.146916959,NA
PTPDC1,3.418050831,-1.755914623,1.211002226,-1.449968122,0.147067409,NA
TMEM18,9.076455214,-0.974579593,0.673022962,-1.448062915,0.147599456,NA
JUND,130.3302808,0.390663063,0.269941802,1.447212177,0.147837507,0.466132468
LYPLA1,17.83019975,0.764689329,0.528407109,1.447159425,0.147852278,NA
TRA2A,11.92455176,0.895665727,0.619481892,1.445830361,0.148224788,NA
RAB24,7.311532188,-1.1368133,0.786427785,-1.445540611,0.148306094,NA
GOLGA8B,0.858845967,-3.10249817,2.147825608,-1.444483276,0.148603081,NA
CNIH1,13.96105954,0.84180484,0.582936,1.444077634,0.148717139,NA
TRIM47,2.135808531,-1.957081957,1.355634278,-1.443665146,0.14883319,NA
VPS26B,3.283285642,1.602571969,1.110226572,1.443463893,0.148889837,NA
TSTA3,7.632430337,1.075087406,0.74559027,1.441927892,0.149322717,NA
